BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
2450	2.45	-0.0531	0.0135	0.0928	-0.0038	0.0017	-0.0015	-0.0008	0.0045	0.0001	0.0029	0.0011	0.0095	-0.015	0.0026
2451	2.451	-0.0433	0.0008	0.0538	-0.0006	0.0002	-0.0064	0.0023	0.0048	-0.0157	0.0034	-0.0026	-0.0069	-0.0145	0.0006
2452	2.452	-0.0582	-0.0271	0.0487	0.0082	-0.0012	-0.0068	0.0006	0.0009	-0.0135	0.0019	0.0024	-0.0047	-0.0075	0.0017
2453	2.453	-0.0556	-0.0233	-0.0143	0	-0.0025	-0.0084	0.0011	0.0077	-0.0155	-0.0011	0.0067	-0.0068	-0.0104	0.0034
2454	2.454	-0.0333	-0.0125	-0.0746	0.0023	-0.0081	-0.0058	0	0.0031	-0.0062	0.0009	0.0155	-0.005	-0.0077	0.0004
2455	2.455	-0.0245	-0.0093	-0.145	0.0089	-0.0028	-0.0069	-0.0012	0.004	0.0191	-0.0027	0.0168	-0.0101	-0.0068	0.0014
2456	2.456	-0.0218	-0.0121	-0.1923	0.0069	0.0036	-0.0039	-0.0008	0.0046	0.0299	0.0043	0.0112	-0.0087	-0.0045	0.0032
2457	2.457	-0.0242	-0.004	-0.1837	0.0087	-0.0023	-0.0035	0.0031	0.0026	0.0069	-0.001	0.0039	-0.024	-0.0024	0.0076
2458	2.458	-0.0264	0.0034	-0.0663	0.0136	-0.0017	-0.0037	-0.0026	0.0021	0.004	-0.0056	-0.0064	-0.018	-0.0029	0.0012
2459	2.459	0.0043	0.0101	0.1189	0.018	-0.0037	0.0014	-0.0063	-0.0043	0.0013	-0.0015	0.0061	-0.0125	0.0024	0.0072
2460	2.46	0.0616	0.0081	0.1435	0.0109	-0.0079	0.0051	-0.0056	-0.0035	-0.0011	0.0054	0.0179	-0.0008	0.0031	0.0002
2461	2.461	0.0539	0.0212	0.0765	-0.0007	-0.0039	0.0047	0.0039	-0.0072	0.0055	-0.001	0.0103	0.0067	-0.0038	0.003
2462	2.462	0.0468	0.0264	0.0156	0.0069	-0.0003	0.0042	0.0025	-0.0052	0.0075	0.0015	0.0033	0.0162	0.0103	0.0072
2463	2.463	0.0016	0.031	-0.0769	0.0056	0.0047	0.0069	0.0063	-0.0035	0.0093	0.0037	0.0021	0.0123	0.0042	0.005
2464	2.464	-0.0042	0.0269	-0.1947	0.002	0.0053	0.0039	0.0073	-0.0029	0.0076	0.0001	-0.0056	0.0065	0.0061	0.0071
2465	2.465	0.0117	0.0205	-0.1796	0.0031	0.001	0.0052	0.0001	-0.0004	0.003	0.0017	-0.0213	0.0137	0.0111	0.0054
2466	2.466	-0.0027	0.0172	-0.0546	0.0001	0.0038	-0.0005	0.0009	-0.0016	0.0099	0	-0.046	0.009	0.0066	0.0049
2467	2.467	0.0017	0.0055	0.0293	-0.0025	-0.001	-0.0063	-0.0016	-0.0036	0.0097	0.0001	-0.0565	0.0109	0.0091	0.005
2468	2.468	0.0216	0.0008	0.0443	-0.005	-0.0006	-0.001	0.0022	0.0006	0.0059	0.0006	-0.0401	0.0236	-0.0006	-0.0007
2469	2.469	0.0251	-0.0034	0.0303	-0.0056	0.0023	0.0026	-0.0014	0.0023	0.0115	-0.0007	-0.0131	0.0253	0.0005	0.0015
2470	2.47	-0.0047	-0.0023	0.0176	-0.0048	0.0058	0.001	-0.0044	0.0018	0.0125	-0.0011	0.005	0.0133	-0.0006	-0.0034
2471	2.471	-0.0408	-0.0056	0.0061	-0.0064	0.0069	-0.0006	-0.006	0.003	0.0171	-0.0069	0.0081	-0.0068	-0.0037	-0.0039
2472	2.472	-0.0265	-0.0046	0.0164	-0.0092	0.0004	0.0021	-0.0065	0.0009	0.0163	-0.0027	0.0052	-0.0042	0.0008	-0.0034
2473	2.473	-0.0046	0.0017	0.0258	-0.0044	-0.006	0.0064	-0.0061	-0.0009	0.0078	0.0025	0.0025	-0.0167	-0.0002	-0.0049
2474	2.474	-0.0008	-0.0062	0.0517	-0.0048	-0.019	0.0094	0.0003	0.0043	0.0001	-0.0069	0.0048	-0.0102	0.0004	-0.0061
2475	2.475	-0.0414	-0.0113	0.0335	-0.0016	-0.0268	-0.0003	0.0002	0.0081	-0.0052	-0.0032	0.007	-0.0124	0.001	-0.0082
2476	2.476	-0.0522	-0.0187	-0.0371	-0.001	-0.0139	-0.0028	-0.0006	0.0028	-0.0043	-0.0023	0.0049	-0.0107	0.0039	-0.0063
2477	2.477	-0.016	-0.0252	-0.0845	0.0026	-0.0021	0.0042	-0.0031	0.0008	-0.0068	-0.0013	-0.0119	-0.0328	-0.0002	-0.0046
2478	2.478	0.0082	-0.0261	-0.0413	0.007	-0.0098	0.0074	-0.0038	0.0003	-0.0152	0.0014	-0.0141	-0.0122	0.0032	-0.0084
2479	2.479	0.0037	-0.0239	0.0294	0.0099	0.0083	0.0047	-0.0017	0.0008	-0.0141	-0.0029	0.0001	-0.0535	0.0035	-0.0014
2480	2.48	0.0075	-0.0233	0.039	0.0116	0.0306	0.0073	-0.0048	0.0044	-0.011	0.0007	-0.0018	-0.1418	0.003	-0.0087
2481	2.481	0.0182	-0.025	0.0305	0.0128	0.0098	0.0037	0.0017	0.0032	-0.0025	-0.0013	0.0033	-0.1295	0.0055	-0.006
2482	2.482	0.0213	-0.0163	0.0072	0.0141	0.0016	0.0031	0.0059	0.0061	-0.0035	0.0017	0.0018	0.0428	0.0044	-0.0052
2483	2.483	0.0241	-0.01	0.0001	0.0084	0.004	-0.0011	0.0037	0.0004	0.0038	0.0021	0.0005	0.0671	-0.0002	-0.0137
2484	2.484	0.0213	-0.0178	-0.0192	-0.0043	0.0061	-0.0005	0.0017	-0.0039	0.0065	0.0036	0.0042	0.0446	0.0026	-0.0169
2485	2.485	0.0189	-0.0105	-0.0135	-0.0173	0.0041	-0.003	0.0047	0.0031	0.0058	0.0032	0.0074	0.0241	0.0019	-0.0222
2486	2.486	0.0167	-0.0002	-0.0083	-0.0122	-0.0016	-0.0071	-0.0029	0.0076	-0.0057	0.0052	0.0232	0.0424	0.0087	-0.0158
2487	2.487	0.0186	0.0067	0.0061	-0.0106	0.0035	-0.0006	0.0002	0.0068	-0.004	0.0087	0.0209	0.059	0.0158	-0.0099
2488	2.488	0.0129	0.0105	0.0192	-0.0064	0.005	-0.0065	0.0029	0.009	-0.0054	0.0065	0.0108	0.0436	0.0148	-0.0047
2489	2.489	-0.0024	0.0073	0.0152	-0.0026	0.0119	-0.0027	0.002	0.0026	-0.0041	0.0036	0.0126	0.0296	0.0122	-0.0012
2490	2.49	-0.0208	0.0145	0.0186	0.0007	0.0056	-0.0007	-0.0017	0.0051	-0.0103	0.0062	0.0007	0.017	0.0068	0.0005
2491	2.491	-0.0136	0.0153	0.0152	0.0018	0.0087	-0.0023	0.0018	0.0044	-0.0047	0.0065	0.0114	0.0284	0.0031	-0.0012
2492	2.492	-0.0024	0.0144	0.0122	0.0064	0.0096	-0.0076	-0.0012	-0.002	-0.0017	0.0048	0.0044	-0.1074	0.0035	-0.0008
2493	2.493	0.0037	0.0075	-0.018	0.0006	-0.0008	-0.0055	-0.0017	0.0006	0.0011	0.0018	0.0006	-0.2	0.003	0.0061
2494	2.494	0.013	-0.0009	-0.0299	0.0043	-0.0216	-0.0113	0.0008	-0.0032	0.0036	0.0038	-0.0005	-0.116	0.0065	0.0134
2495	2.495	0.0146	0.0002	0.0029	-0.0021	-0.0009	-0.006	-0.0014	-0.0081	0.0015	0.0057	-0.0016	0.0522	0.0134	0.0143
2496	2.496	0.01	0.0118	0.0248	-0.0045	0.0238	-0.004	0.005	-0.0075	-0.0092	0.0018	-0.0081	0.0297	0.0186	0.01
2497	2.497	0.014	0.0103	0.0286	-0.0007	0.0141	-0.0009	0.0023	-0.0023	-0.0076	-0.0018	-0.0091	0.0499	0.0102	0.0107
2498	2.498	0.0127	0.009	0.0178	0.0043	-0.0129	0.0008	-0.0019	-0.0072	-0.0089	-0.0048	-0.0098	0.0314	0.0046	0.0156
2499	2.499	0.0137	0.0128	0.0081	0.0086	-0.0092	0.0023	0.0033	-0.0054	-0.0152	-0.0009	-0.0021	0.048	-0.0091	0.0073
2500	2.5	0.0146	0.0138	0.011	0.007	0.0205	0.0065	0.004	-0.0037	-0.0162	-0.0044	-0.0012	0.0327	-0.0147	0.0105
2501	2.501	0.0061	0.0148	0.0136	0.0013	0.0086	-0.0011	0.0034	0.0041	-0.0089	-0.004	-0.0021	0.0465	-0.013	0.0095
2502	2.502	-0.0042	0.0103	0.0209	0.0021	-0.0023	-0.0041	-0.0042	0.0009	-0.0062	0.0025	0.0055	0.0338	-0.0114	0.0068
2503	2.503	-0.0195	0.0077	0.0274	0.0001	0.0008	-0.0014	0.001	0.0062	-0.0002	0.0034	0.0024	0.0453	-0.0155	0.0025
2504	2.504	-0.0215	0.007	0.0253	0.0097	-0.0201	-0.0023	-0.0036	0.0035	0.005	0.0077	0.0145	0.0349	-0.0117	0.0003
2505	2.505	-0.0123	0.0021	0.0234	0.0305	-0.0282	-0.0061	0.0006	0.0026	0.0015	0.0084	0.0127	0.0254	-0.0195	-0.0017
2506	2.506	-0.0005	-0.0049	0.0114	0.0577	-0.0158	-0.0055	-0.0016	-0.0043	0.0085	0.0133	0.0111	0.034	-0.0185	0
2507	2.507	-0.005	-0.0057	-0.0056	0.0469	-0.018	-0.0013	0.0004	-0.0052	0.0058	0.0092	0.0096	0.0261	-0.0176	-0.0076
2508	2.508	-0.0091	-0.0014	-0.0079	0.0105	-0.0078	0.0004	0.0035	-0.0026	0.01	0.0016	0.0132	0.019	-0.0235	-0.0023
2509	2.509	-0.0104	-0.0066	-0.0058	-0.0233	-0.0097	-0.0012	0.0006	-0.0004	0.0123	-0.0036	0.0052	0.0126	-0.0166	-0.0031
2510	2.51	-0.0114	-0.0017	-0.0112	-0.063	-0.0047	-0.0034	-0.001	-0.0025	0.0103	-0.012	-0.0065	0.0069	-0.0157	-0.0057
2511	2.511	-0.0019	0.0053	-0.0127	-0.0896	0.0151	0.003	-0.0014	-0.0067	0.0061	-0.0088	-0.0142	0.0017	-0.0097	0.0013
2512	2.512	0.0019	0.0118	-0.005	-0.0459	0.023	0.0038	0.0015	-0.0051	0.0078	0.0028	-0.024	-0.0029	-0.0091	0.0077
2513	2.513	0.0029	0.0161	-0.0008	-0.0167	0.0106	-0.0004	-0.0028	-0.0036	0.0009	-0.0048	-0.0204	-0.0161	-0.0041	0.0052
2514	2.514	0.0101	0.0109	0.0003	-0.0114	0.0041	0.0048	-0.0023	-0.0014	0.0017	-0.0007	-0.0101	-0.0121	0.0041	0.003
2515	2.515	0.0147	0.0103	0.0013	-0.0067	0.0021	-0.0017	0.0002	-0.0011	-0.0009	0.0031	-0.0115	-0.0085	0.0009	-0.0005
2516	2.516	0.0105	0.0098	0.0003	-0.0023	0.0002	0.0042	-0.002	-0.003	-0.0031	0.0021	-0.0028	-0.0116	0.0081	-0.0022
2517	2.517	0.0036	0.0058	0.0145	0.0015	-0.0014	-0.0043	-0.0017	0.0016	0.0046	-0.0031	0.0074	-0.0204	0.0089	0.0018
2518	2.518	0.0064	-0.002	0.0249	-0.0021	-0.006	-0.0033	-0.0068	0.0033	-0.0091	-0.004	0.0226	-0.0176	0.0097	-0.0017
2519	2.519	0.004	-0.0123	0.027	0.0011	-0.0074	0.0039	-0.0075	0.0015	-0.0111	-0.0065	0.0246	-0.0052	0.0149	-0.0014
2520	2.52	0.0048	-0.0163	0.0289	0.0099	-0.0012	-0.0026	-0.0059	0.0029	-0.0061	-0.0012	0.0115	-0.0117	0.0169	0.0034
2521	2.521	-0.0059	-0.0101	0.0185	0.0017	0.0066	-0.0069	-0.0042	0.0024	0.0015	-0.0005	-0.0071	-0.0015	0.0086	0.0039
2522	2.522	-0.0289	-0.0068	-0.0022	-0.0007	0.0076	-0.0122	-0.0068	-0.0042	0.0001	0.0012	-0.0144	0.0004	0.0096	0.001
2523	2.523	-0.0387	-0.0058	0.0068	-0.0029	0.005	-0.0029	0.0001	-0.0034	-0.0012	0.0017	-0.0122	0.0123	0.0043	0.0025
2524	2.524	-0.0178	-0.0012	-0.0012	-0.005	0.0024	0.0007	0.001	0.0009	-0.0002	0.0023	-0.0062	-0.0015	0.0089	0.0003
2525	2.525	0.0069	-0.009	-0.0282	0.0006	0.0075	0.0063	-0.0017	-0.0042	0.0027	-0.0007	-0.0045	-0.0181	0.003	-0.0052
2526	2.526	0.0037	-0.0017	-0.0535	-0.0045	-0.0032	0.0092	-0.0009	-0.0035	0.0035	-0.0004	-0.0129	0.0022	0.0068	-0.0015
2527	2.527	0.0066	-0.0081	-0.0832	0	-0.0261	0.0027	0.006	-0.0018	0.0026	-0.0054	-0.0114	0.0105	-0.0038	0.0006
2528	2.528	0.0094	-0.0107	-0.111	-0.0014	-0.0229	0.0069	0.0052	-0.0023	0.0018	-0.0018	-0.0183	0.0179	0.0008	-0.0011
2529	2.529	0.0118	-0.0084	-0.0781	0.0023	-0.0021	0.0016	0.0026	-0.0059	-0.0003	-0.0048	-0.0246	0.0158	0.0022	0.003
2530	2.53	0.0097	-0.0077	-0.0118	0.0078	0.0006	-0.0034	0.0047	0.0002	0.0002	-0.0019	-0.0302	0.0058	0.0011	-0.0004
2531	2.531	0.0036	-0.0172	0.0167	0.0005	0.0029	-0.0018	0.004	0.0044	0.0006	-0.0014	-0.025	-0.0071	0.0115	0.0066
2532	2.532	-0.0056	-0.0212	0.0254	0.0013	0.0051	-0.0036	0.0023	0.0022	-0.001	-0.0056	-0.0109	-0.0222	0.0241	0.0036
2533	2.533	-0.0073	-0.0249	0.0177	0.0038	0.0031	-0.0001	-0.0018	0.0015	-0.0041	-0.005	-0.0048	-0.0199	0.0259	0.0083
2534	2.534	0.0066	-0.0238	-0.0035	0.0015	0.0087	0.0002	0.0018	0.001	-0.0038	-0.0045	0.0082	-0.0066	0.0245	0.0058
2535	2.535	0.0122	-0.0143	0.003	0.0034	0.0037	0.0048	-0.0013	0.0038	-0.0063	-0.0057	0.0133	-0.0182	0.0233	0.0066
2536	2.536	0.014	-0.008	0.0205	0.0064	-0.0008	0.0064	-0.0001	0.0054	-0.0054	-0.0028	0.0026	-0.0226	0.0146	0.0018
2537	2.537	0.0064	0.0092	0.0364	0.0058	0.0034	0.0011	-0.0012	-0.0007	-0.0058	-0.0046	0.015	-0.0237	0.0114	0.005
2538	2.538	-0.0144	0.0216	0.0317	0.0032	0.0071	0.0017	0.004	0.0071	-0.0016	-0.0014	0.0133	-0.0146	0.0043	-0.0002
2539	2.539	-0.0232	0.0328	0.0538	0.0028	0.0241	0.0021	0.0062	-0.0024	0.0025	-0.0052	0.0087	-0.0175	-0.0097	0.0006
2540	2.54	-0.0259	0.0308	0.042	0.0057	0.0167	0.0096	0.0083	0.0014	0.0008	-0.0005	0.01	-0.0015	-0.0116	-0.0023
2541	2.541	-0.0283	0.0029	0.0092	0.0038	0.0233	0.0126	-0.0012	-0.0018	0.0055	0.0012	0.0238	0.0007	-0.0209	-0.0062
2542	2.542	-0.0349	-0.025	-0.0216	0.0061	0.0091	0.0079	-0.0109	0.0034	-0.0003	0.0017	0.0294	0.0193	-0.026	-0.0139
2543	2.543	-0.0207	-0.0214	-0.0017	0.001	-0.0038	-0.0033	-0.0046	-0.003	0.0004	-0.0018	0.0311	0.0119	-0.0367	-0.0083
2544	2.544	-0.0114	-0.005	0.0018	-0.0026	-0.0291	-0.0019	0.001	-0.0039	0.001	-0.0007	0.0173	0.0097	-0.0326	-0.0052
2545	2.545	0.0073	-0.0021	-0.0146	0.0015	-0.0691	-0.0089	0.002	-0.0017	0.004	0.0032	0.008	-0.0004	-0.0315	-0.0024
2546	2.546	0.0146	-0.0103	-0.0538	0.0067	-0.0744	-0.0077	0.0011	-0.001	0	0.0017	-0.0005	0.0128	-0.026	-0.0066
2547	2.547	0.0124	-0.003	-0.0591	0.0031	-0.0308	-0.011	0.0037	0.002	0.0067	0.0028	0.001	0.0112	-0.0165	-0.0103
2548	2.548	0.0023	0.0081	-0.0157	0.0036	0.0221	-0.0121	0	-0.0008	0.0003	-0.0011	0.0051	0.016	-0.0128	-0.0082
2549	2.549	-0.0033	0.0142	0.0133	-0.0005	0.0575	-0.0018	0.0049	-0.0013	0.0011	-0.0006	0.0164	0.0064	-0.0073	-0.0051
2550	2.55	-0.0049	0.0123	-0.0136	0.001	0.0511	0.0022	0.0032	0.0017	0.0004	-0.0028	0.021	0.0053	-0.0042	0.0025
2551	2.551	0.0057	0.0275	-0.0093	-0.0002	0.0338	0.0135	0.0003	0.0056	-0.0002	0.001	0.0114	-0.0049	0.0043	-0.0005
2552	2.552	0.0127	0.0335	-0.0142	0.0062	0.0179	0.0059	0.0029	0.0041	-0.0045	-0.0037	-0.0076	-0.0035	0.0099	-0.0069
2553	2.553	0.0316	0.0205	-0.0668	0.0016	-0.0159	0.0184	-0.0002	0.0071	-0.0016	-0.0054	0.0006	-0.0148	0.0152	-0.0061
2554	2.554	0.0507	0.0052	-0.0175	-0.0027	-0.0378	0.02	-0.0057	0.0067	-0.0052	0.0022	0.003	-0.0133	0.0088	-0.0082
2555	2.555	0.0384	-0.005	0.0272	0.001	-0.0339	0.0031	-0.0036	0.0101	-0.001	0.0032	0.0009	-0.0009	0.0098	-0.0062
2556	2.556	0.0406	-0.0069	0.0325	0.0059	-0.0158	-0.0035	0.0042	0.0031	0.0078	0.0077	0.0151	-0.0196	0.012	-0.0078
2557	2.557	0.0345	-0.0053	0.0163	0.0064	0.0139	0.0026	-0.001	-0.0126	-0.0111	0.0069	0.0393	-0.0173	0.0028	-0.0026
2558	2.558	0.0289	-0.0069	0.0208	0.0069	0.066	-0.003	0.0036	0.0077	-0.0522	0.0016	0.0228	-0.0152	0.0041	-0.0032
2559	2.559	0.0204	-0.0084	0.0077	0.0034	0.1015	-0.0081	0.0027	0.005	-0.0228	0.0009	0.008	-0.0053	0.0119	0.001
2560	2.56	0.0066	-0.0022	0.004	0.0055	0.0564	-0.0066	-0.001	0.0074	0.0144	0.0026	-0.0111	0.0001	0.0173	0.0087
2561	2.561	-0.0101	-0.0125	0.0079	0.0034	0.0034	-0.0052	0.0039	0.0097	0.0776	0.0078	-0.0333	-0.0018	0.022	0.0118
2562	2.562	-0.0035	-0.0112	-0.0015	-0.0024	-0.0607	-0.004	-0.0018	0.0117	0.0345	0.0113	-0.0481	0.0057	0.0332	0.0109
2563	2.563	-0.0096	-0.0101	-0.0039	0.0001	-0.0521	-0.003	-0.0011	0.0136	0.0112	0.0056	-0.0561	0.0095	0.0258	0.0118
2564	2.564	-0.0301	-0.0069	-0.001	-0.0021	-0.0288	-0.0103	-0.0089	-0.0118	0.0041	0.0062	-0.0388	0.0056	0.0299	0.0112
2565	2.565	-0.0549	-0.0079	-0.0081	0	-0.05	-0.0148	-0.0036	-0.0372	-0.0022	0.0097	-0.0185	0.0023	0.0238	0.0063
2566	2.566	-0.0713	-0.0015	-0.0016	-0.0069	-0.0176	-0.0123	0.0028	0.0123	0.0036	0.008	-0.0211	0.0051	0.0229	0.0093
2567	2.567	-0.0565	-0.0006	-0.0035	-0.0023	0.0355	-0.007	0.0106	0.0336	0.0088	-0.0008	-0.0038	0.0171	0.0135	0.0041
2568	2.568	-0.0319	0.0016	0.0021	-0.0014	0.0285	0.0037	0.0034	0.0659	0.0066	-0.0006	-0.0094	0.0124	-0.0019	0.0083
2569	2.569	-0.009	-0.0005	0.0039	-0.0035	-0.0037	0.0114	0.0061	0.0832	0.0019	0.0031	-0.0071	0.0173	-0.0081	0.0048
2570	2.57	0.0058	0.0013	0.0084	-0.0055	-0.0446	0.0073	0.0086	0.0351	-0.0024	0.002	0.0114	0.0065	-0.0136	0.009
2571	2.571	0.003	-0.0003	0.0044	-0.0049	-0.0499	-0.004	0.0049	-0.0491	-0.0063	0.003	0.0387	0.0023	-0.0187	0.0038
2572	2.572	0.0053	0.0034	0.0033	-0.0008	0.0228	0.0006	0.0014	-0.1066	-0.0098	0.0021	0.0423	-0.0117	-0.0251	-0.0027
2573	2.573	0.0075	0.0047	0.0088	-0.0043	0.0749	0.0076	-0.0002	-0.0755	-0.0195	-0.0038	0.0193	-0.01	-0.0293	-0.0052
2574	2.574	0.0137	0.0027	0.0035	-0.0064	0.0275	0.0014	0.0003	-0.0282	-0.0166	-0.0016	-0.0077	-0.0017	-0.0345	-0.0045
2575	2.575	0.0046	0.0046	0.0041	-0.0067	-0.0674	0.0004	-0.0074	-0.0368	-0.0029	-0.0081	-0.0257	-0.0064	-0.0324	-0.0066
2576	2.576	0.0114	0.0008	0.0047	0.001	-0.0331	0.0037	-0.0099	-0.0218	0.0095	-0.0158	-0.0289	-0.0218	-0.0282	-0.0036
2577	2.577	0.0133	-0.0024	-0.0012	0.0053	0.0046	0.011	0.0004	0.0016	-0.0016	-0.0106	-0.014	-0.024	-0.0241	-0.0064
2578	2.578	0.012	0.0014	0.0043	0.0025	0.0391	0.0084	0.0045	0.0086	0.0005	-0.0115	0.0052	-0.026	-0.0205	-0.009
2579	2.579	0.0107	0.0009	0.0093	0.0031	0.0495	0.0059	0.0008	0.0022	-0.0013	-0.0055	0.0029	-0.0245	-0.0202	-0.0151
2580	2.58	0.0119	-0.0022	0.0077	0.001	0.0212	0.0007	0.0019	0.008	-0.0097	0.0029	-0.0082	-0.0108	-0.0198	-0.0159
2581	2.581	0.0064	0.0016	0.0014	0.0039	-0.039	-0.0014	0.0029	0.0027	-0.0051	-0.0049	-0.0021	-0.0017	-0.0163	-0.0181
2582	2.582	0.0075	0.001	-0.0044	0.0005	-0.0467	-0.0044	-0.0035	0.0074	-0.0011	0.0024	0.0035	0.0066	-0.0133	-0.016
2583	2.583	0.0084	0.0013	-0.0114	0.0075	-0.0111	0.0044	-0.0009	0.0029	0.0051	-0.0004	0.0019	0.011	-0.0077	-0.0143
2584	2.584	0.0026	-0.0008	0.0007	0.0023	-0.0822	0.0007	-0.0078	-0.0251	0.0155	-0.0012	0.025	0.0149	-0.0055	-0.0219
2585	2.585	-0.0074	-0.0027	0.0159	0.0032	-0.0348	0.004	-0.005	-0.0071	0.0086	-0.0035	0.0415	-0.0041	-0.0036	-0.0104
2586	2.586	-0.0059	0.0025	0.0098	-0.0045	0.0599	0.0093	-0.0075	-0.0041	-0.0027	-0.0015	0.0266	-0.0453	0.0021	-0.0028
2587	2.587	-0.0046	0.0047	0.0042	-0.0075	0.072	0.0066	-0.0068	-0.0013	0.008	0.0002	0.0129	-0.1336	0.0072	-0.0015
2588	2.588	-0.0035	0.0054	-0.0007	-0.0101	0.0371	0.0025	-0.0048	-0.0041	0.0009	-0.0003	0.0056	-0.02	0.0178	0.0048
2589	2.589	-0.0004	0.0071	0.001	-0.0075	0.0055	0.0062	-0.0052	-0.0019	-0.0132	-0.0008	-0.0055	0.087	0.0346	0.0173
2590	2.59	0.0061	0.01	0.0027	0.001	-0.0232	0.0042	-0.0035	0.0002	-0.0078	0.0004	-0.028	0.0453	0.0456	0.0223
2591	2.591	0.0053	0.0074	0.0095	0.002	-0.0491	0	-0.005	0.0021	-0.0063	0.0052	-0.0309	0.0578	0.0516	0.0238
2592	2.592	-0.0015	0.0032	0.0089	0.0051	-0.0721	-0.0016	0.0001	0.0076	-0.0078	0.0082	-0.0282	0.0233	0.0533	0.0197
2593	2.593	-0.0099	0.0061	0.0165	0.006	-0.0077	0	-0.0019	0.0057	-0.0008	0.0054	-0.0059	0.0129	0.0447	0.0208
2594	2.594	-0.0176	0.0087	0.0309	-0.0017	0.053	0.0023	0.0011	0.001	-0.0017	0.0006	-0.003	0.0224	0.0339	0.0218
2595	2.595	-0.0038	0.0056	0.0455	-0.0007	0.0454	-0.0005	0.0006	0.0021	-0.0094	0.0064	-0.0004	0.0137	0.0268	0.0208
2596	2.596	-0.0019	0.0036	0.0663	0.004	0.0385	0.0005	0.0054	0.0057	-0.0082	0.0013	0.0069	0.0059	0.0103	0.0216
2597	2.597	-0.007	-0.0014	0.1077	-0.0002	0.0322	0.0029	0.0011	0.0002	-0.0072	-0.0007	0.0047	0.013	-0.001	0.0174
2598	2.598	-0.0084	-0.0007	0.1372	0.0035	-0.0207	-0.0021	-0.0017	-0.0008	-0.008	0.001	0.0067	-0.0063	-0.0196	0.0089
2599	2.599	0.0013	-0.0023	0.1427	0	-0.0277	-0.0098	0.004	0.0076	-0.0056	-0.0031	0.0086	-0.0006	-0.0321	-0.0015
2600	2.6	0.0075	-0.004	0.1286	0.0017	-0.0339	-0.0108	0.0003	0.0224	0.0051	0.0005	0.0002	0.0153	-0.03	-0.0056
2601	2.601	0.0044	-0.0065	0.0889	-0.0035	-0.0164	-0.0081	-0.0046	0.0284	0.0253	-0.0056	-0.0167	0.0105	-0.0362	-0.0144
2602	2.602	-0.0071	-0.0052	0.0519	0.0015	-0.011	-0.0055	0.0023	0.0488	0.0283	-0.0064	-0.0188	0.0149	-0.0346	-0.0135
2603	2.603	-0.0025	-0.0032	0.0378	0.001	0.0035	-0.0107	0.0108	0.0406	0.0263	-0.0041	0.0037	0.0268	-0.033	-0.0105
2604	2.604	0.0101	0.0026	0.0071	-0.0007	0.0167	-0.0042	0.0211	0.0132	-0.0025	0.0066	0.0186	0.0159	-0.0225	-0.0132
2605	2.605	0.0152	0.0069	-0.0527	-0.0032	0.0207	0.0001	0.0003	-0.0124	-0.0223	-0.004	0.0377	0.0128	-0.0131	-0.0176
2606	2.606	0.0075	0.0062	-0.1647	-0.0075	0.0172	0.0023	-0.0085	-0.0355	-0.0042	-0.0053	0.0253	0.0157	-0.017	-0.0139
2607	2.607	0.0089	0.0041	-0.2716	-0.0057	0.0271	0.0017	-0.0004	-0.0626	-0.0272	-0.0041	0.0006	0.0185	-0.0162	-0.0091
2608	2.608	0.0026	-0.0028	-0.341	-0.001	0.0243	-0.0078	-0.0028	-0.0298	-0.0122	0.0063	-0.0291	0.0258	-0.0174	-0.0061
2609	2.609	-0.0101	-0.0074	-0.3283	-0.0027	0.0217	-0.0064	0.0037	-0.0168	0.0016	-0.0007	-0.0491	0.0147	-0.0149	-0.0067
2610	2.61	0.0051	-0.0134	-0.2937	-0.0032	0.0242	-0.0027	0.0098	-0.0051	-0.0056	-0.0019	-0.0456	0.0006	-0.0056	-0.0073
2611	2.611	0.0274	-0.0171	-0.2208	0.0015	0.0177	0.0006	0.0043	-0.0017	-0.0167	0.0013	-0.0291	-0.0048	-0.0095	-0.0032
2612	2.612	0.0422	-0.015	-0.0786	0.0058	-0.013	0.0016	-0.0076	0.0014	-0.0186	0.0043	-0.0021	-0.0165	-0.0041	-0.005
2613	2.613	0.0283	-0.0133	0.0637	0.0063	-0.0438	-0.001	-0.0121	0.0165	-0.0203	0.0069	0.0233	-0.0271	-0.0033	-0.0015
2614	2.614	0.0209	-0.0221	0.1192	0.0057	-0.0638	-0.0069	-0.0025	0.0196	0.0017	0.0111	0.0331	-0.0229	-0.0026	0.0014
2615	2.615	0.0273	-0.041	0.0688	-0.0012	-0.0819	-0.0063	0.0063	0.0174	0.0347	0.0026	0.0243	-0.0115	0.0015	0.0041
2616	2.616	0.0414	-0.0218	0.0536	-0.0022	-0.0324	-0.0027	0.0074	0.0197	0.0303	-0.0077	0.0217	-0.0159	0.0006	0.0036
