permutation,null_auc
1,0.4278846153846154
2,0.3076923076923077
3,0.14903846153846156
4,0.4230769230769231
5,0.28365384615384615
6,0.5192307692307693
7,0.5576923076923077
8,0.5
9,0.41346153846153844
10,0.2451923076923077
11,0.6923076923076923
12,0.6105769230769231
13,0.6057692307692308
14,0.7548076923076923
15,0.6298076923076923
16,0.2980769230769231
17,0.5432692307692308
18,0.3798076923076923
19,0.3125
20,0.5480769230769231
21,0.4951923076923077
22,0.6634615384615384
23,0.28846153846153844
24,0.2548076923076923
25,0.41346153846153844
26,0.7019230769230769
27,0.3942307692307693
28,0.3365384615384615
29,0.75
30,0.5384615384615384
31,0.4134615384615385
32,0.5721153846153846
33,0.4278846153846154
34,0.3605769230769231
35,0.3076923076923077
36,0.48557692307692313
37,0.3125
38,0.4759615384615385
39,0.6682692307692308
40,0.5384615384615385
41,0.47115384615384615
42,0.375
43,0.6153846153846154
44,0.6009615384615384
45,0.4567307692307693
46,0.3028846153846154
47,0.375
48,0.7355769230769231
49,0.5865384615384616
50,0.28365384615384615
51,0.46634615384615385
52,0.44711538461538464
53,0.5192307692307692
54,0.2980769230769231
55,0.6826923076923077
56,0.28365384615384615
57,0.3798076923076923
58,0.673076923076923
59,0.6634615384615384
60,0.21634615384615385
61,0.5480769230769231
62,0.5096153846153846
63,0.7836538461538463
64,0.5288461538461539
65,0.2884615384615385
66,0.625
67,0.6153846153846154
68,0.42307692307692313
69,0.4471153846153846
70,0.6057692307692307
71,0.1971153846153846
72,0.6153846153846154
73,0.36538461538461536
74,0.5240384615384616
75,0.6634615384615384
76,0.7355769230769231
77,0.35576923076923084
78,0.27884615384615385
79,0.5288461538461539
80,0.5913461538461537
81,0.576923076923077
82,0.38461538461538464
83,0.47115384615384615
84,0.3653846153846154
85,0.5048076923076923
86,0.5384615384615384
87,0.3125
88,0.5
89,0.4423076923076923
90,0.5576923076923077
91,0.125
92,0.40865384615384615
93,0.25961538461538464
94,0.5528846153846154
95,0.360576923076923
96,0.4759615384615385
97,0.5769230769230769
98,0.47115384615384615
99,0.42307692307692313
100,0.5961538461538461
101,0.451923076923077
102,0.5288461538461539
103,0.36538461538461536
104,0.42788461538461536
105,0.3076923076923077
106,0.3798076923076923
107,0.25961538461538464
108,0.6394230769230769
109,0.4086538461538462
110,0.22115384615384617
111,0.5384615384615384
112,0.4423076923076923
113,0.6923076923076923
114,0.639423076923077
115,0.389423076923077
116,0.5288461538461539
117,0.4326923076923077
118,0.4567307692307693
119,0.2932692307692308
120,0.5721153846153846
121,0.42307692307692313
122,0.5961538461538461
123,0.5576923076923077
124,0.4807692307692308
125,0.27884615384615385
126,0.5865384615384615
127,0.32211538461538464
128,0.6490384615384615
129,0.5865384615384617
130,0.3653846153846154
131,0.5192307692307693
132,0.19711538461538464
133,0.12019230769230771
134,0.5048076923076923
135,0.17307692307692307
136,0.44230769230769224
137,0.4182692307692307
138,0.485576923076923
139,0.4903846153846154
140,0.389423076923077
141,0.6730769230769231
142,0.28365384615384615
143,0.5480769230769231
144,0.5000000000000001
145,0.6490384615384616
146,0.4326923076923077
147,0.5673076923076923
148,0.21634615384615385
149,0.6826923076923077
150,0.6298076923076924
151,0.5721153846153846
152,0.6201923076923077
153,0.6442307692307693
154,0.625
155,0.6346153846153846
156,0.4807692307692307
157,0.4182692307692307
158,0.5769230769230769
159,0.40865384615384615
160,0.4663461538461539
161,0.44230769230769235
162,0.3701923076923077
163,0.4903846153846154
164,0.16826923076923078
165,0.46153846153846156
166,0.5480769230769231
167,0.2932692307692308
168,0.4903846153846154
169,0.653846153846154
170,0.4759615384615385
171,0.5913461538461539
172,0.3221153846153846
173,0.3798076923076923
174,0.33653846153846156
175,0.49038461538461536
176,0.19230769230769232
177,0.375
178,0.3701923076923077
179,0.2692307692307693
180,0.7403846153846154
181,0.625
182,0.7355769230769231
183,0.5096153846153846
184,0.3798076923076923
185,0.2451923076923077
186,0.4375
187,0.6538461538461539
188,0.17307692307692307
189,0.37500000000000006
190,0.08173076923076923
191,0.4807692307692308
192,0.14423076923076922
193,0.5048076923076923
194,0.47115384615384615
195,0.4519230769230769
196,0.30288461538461536
197,0.5432692307692308
198,0.22115384615384615
199,0.3125
200,0.5769230769230769
201,0.4278846153846154
202,0.639423076923077
203,0.49038461538461536
204,0.6586538461538463
205,0.2692307692307693
206,0.6923076923076923
207,0.6442307692307693
208,0.27403846153846156
209,0.40384615384615385
210,0.6682692307692307
211,0.5528846153846154
212,0.8028846153846154
213,0.5336538461538461
214,0.6153846153846154
215,0.45673076923076916
216,0.5721153846153846
217,0.3701923076923077
218,0.17788461538461542
219,0.4182692307692307
220,0.4807692307692307
221,0.6923076923076923
222,0.7451923076923077
223,0.32211538461538464
224,0.5240384615384616
225,0.6105769230769231
226,0.4615384615384615
227,0.46634615384615385
228,0.19711538461538464
229,0.46634615384615385
230,0.3942307692307692
231,0.47115384615384615
232,0.5336538461538461
233,0.5865384615384616
234,0.49038461538461536
235,0.5240384615384615
236,0.33653846153846156
237,0.6153846153846154
238,0.6490384615384616
239,0.2980769230769231
240,0.375
241,0.5432692307692308
242,0.028846153846153848
243,0.3125
244,0.6105769230769231
