permutation,null_auc
1,0.46153846153846156
2,0.3028846153846154
3,0.548076923076923
4,0.19230769230769232
5,0.5048076923076923
6,0.514423076923077
7,0.5144230769230769
8,0.32692307692307687
9,0.29807692307692313
10,0.14903846153846156
11,0.4134615384615385
12,0.40865384615384615
13,0.5144230769230769
14,0.5432692307692307
15,0.5336538461538461
16,0.3605769230769231
17,0.4278846153846155
18,0.5769230769230769
19,0.5576923076923077
20,0.49038461538461536
21,0.10576923076923078
22,0.4278846153846154
23,0.5048076923076923
24,0.09615384615384616
25,0.2451923076923077
26,0.6923076923076923
27,0.23076923076923078
28,0.24038461538461542
29,0.4855769230769231
30,0.3653846153846154
31,0.2932692307692308
32,0.5721153846153847
33,0.28846153846153844
34,0.4134615384615385
35,0.1923076923076923
36,0.34134615384615385
37,0.12980769230769232
38,0.4807692307692308
39,0.5673076923076923
40,0.5192307692307693
41,0.3317307692307693
42,0.1971153846153846
43,0.4951923076923077
44,0.2403846153846154
45,0.3894230769230769
46,0.014423076923076924
47,0.3413461538461539
48,0.6105769230769231
49,0.4423076923076923
50,0.32211538461538464
51,0.5048076923076923
52,0.4134615384615385
53,0.38461538461538464
54,0.2884615384615385
55,0.5336538461538461
56,0.4278846153846154
57,0.49519230769230765
58,0.30288461538461536
59,0.5144230769230769
60,0.23076923076923078
61,0.3894230769230769
62,0.14423076923076922
63,0.6923076923076923
64,0.38461538461538464
65,0.2932692307692308
66,0.5673076923076923
67,0.2932692307692308
68,0.47596153846153844
69,0.49038461538461536
70,0.4711538461538462
71,0.25
72,0.2259615384615385
73,0.3221153846153846
74,0.3076923076923077
75,0.45673076923076916
76,0.3653846153846154
77,0.5096153846153846
78,0.6105769230769231
79,0.5528846153846154
80,0.3942307692307693
81,0.4807692307692308
82,0.19711538461538464
83,0.06730769230769232
84,0.5865384615384616
85,0.16826923076923078
86,0.4855769230769231
87,0.4326923076923077
88,0.2932692307692308
89,0.4375
90,0.27403846153846156
91,0.3557692307692307
92,0.12019230769230771
93,0.14423076923076922
94,0.5192307692307693
95,0.1346153846153846
96,0.2644230769230769
97,0.3317307692307692
98,0.3557692307692308
99,0.6153846153846154
100,0.5384615384615384
101,0.41346153846153844
102,0.2451923076923077
103,0.16826923076923078
104,0.2980769230769231
105,0.41346153846153844
106,0.3317307692307692
107,0.19230769230769232
108,0.37980769230769235
109,0.09615384615384616
110,0.4278846153846154
111,0.35576923076923084
112,0.2644230769230769
113,0.5192307692307693
114,0.4663461538461538
115,0.46634615384615385
116,0.25
117,0.3846153846153846
118,0.5192307692307692
119,0.14903846153846154
120,0.6009615384615385
121,0.6153846153846154
122,0.3798076923076923
123,0.47115384615384615
124,0.3076923076923077
125,0.3461538461538462
126,0.2692307692307693
127,0.2403846153846154
128,0.40865384615384615
129,0.4759615384615385
130,0.2644230769230769
131,0.6730769230769231
132,0.1682692307692308
133,0.34615384615384615
134,0.4807692307692308
135,0.12019230769230771
136,0.18269230769230768
137,0.30288461538461536
138,0.3942307692307693
139,0.3701923076923077
140,0.2980769230769231
141,0.5817307692307693
142,0.019230769230769232
143,0.3557692307692308
144,0.22115384615384617
145,0.6394230769230769
146,0.22596153846153846
147,0.2980769230769231
148,0.39903846153846156
149,0.4423076923076923
150,0.46153846153846156
151,0.125
152,0.5384615384615384
153,0.5865384615384615
154,0.39423076923076916
155,0.6057692307692308
156,0.5336538461538461
157,0.2403846153846154
158,0.27403846153846156
159,0.4759615384615385
160,0.3173076923076923
161,0.25961538461538464
162,0.4182692307692307
163,0.3798076923076923
164,0.15865384615384615
165,0.4471153846153846
166,0.548076923076923
167,0.49519230769230776
168,0.3557692307692308
169,0.47115384615384615
170,0.25961538461538464
171,0.34615384615384615
172,0.5961538461538463
173,0.5192307692307692
174,0.10576923076923078
175,0.2740384615384615
176,0.2884615384615385
177,0.4134615384615385
178,0.35096153846153844
179,0.40384615384615385
180,0.5576923076923077
181,0.27884615384615385
182,0.4567307692307692
183,0.3317307692307693
184,0.12500000000000003
185,0.5673076923076923
186,0.2259615384615385
187,0.5
188,0.30288461538461536
189,0.4182692307692308
190,0.35096153846153844
191,0.5673076923076923
192,0.33653846153846156
193,0.3894230769230769
194,0.2644230769230769
195,0.11538461538461539
196,0.33653846153846156
197,0.3942307692307692
198,0.375
199,0.27884615384615385
200,0.514423076923077
201,0.4759615384615385
202,0.5048076923076923
203,0.32692307692307687
204,0.6442307692307692
205,0.33653846153846156
206,0.5480769230769231
207,0.4038461538461538
208,0.4278846153846154
209,0.21634615384615385
210,0.5144230769230769
211,0.7307692307692308
212,0.5288461538461539
213,0.23076923076923078
214,0.34134615384615385
215,0.7067307692307692
216,0.4471153846153846
217,0.3317307692307692
218,0.16826923076923078
219,0.47596153846153855
220,0.3846153846153846
221,0.7644230769230769
222,0.6634615384615384
223,0.40384615384615385
224,0.47596153846153844
225,0.44711538461538464
226,0.3557692307692307
227,0.1201923076923077
228,0.04326923076923077
229,0.37980769230769235
230,0.40865384615384615
231,0.38461538461538464
232,0.43749999999999994
233,0.6490384615384616
234,0.21153846153846154
235,0.1778846153846154
236,0.3125
237,0.32211538461538464
238,0.5769230769230769
239,0.451923076923077
240,0.05288461538461539
241,0.27884615384615385
242,0.4711538461538462
243,0.3557692307692308
244,0.5
245,0.24999999999999997
246,0.16346153846153846
247,0.5192307692307692
248,0.5192307692307693
249,0.5432692307692308
250,0.38461538461538464
251,0.4086538461538461
