participant_id,actual_age,predicted_age,predictive_std,absolute_error,within_95pct_interval
2,22.0,31.857579909008294,13.693687989616006,9.857579909008294,True
3,24.0,37.016274829272156,15.0025740510985,13.016274829272156,True
5,34.0,52.542235064209954,11.20543033103572,18.542235064209954,True
6,31.0,53.266937296906825,0.6744434069456293,22.266937296906825,False
7,22.0,33.8693534525735,13.328463015228524,11.869353452573499,True
8,33.0,44.64666434638152,14.105554415410442,11.64666434638152,True
9,51.0,44.49103202858203,12.76445933590469,6.508967971417967,True
10,51.0,46.89685241639349,12.827836924751939,4.103147583606507,True
11,22.0,34.17832364217837,13.630057931543933,12.17832364217837,True
12,49.0,36.94818665573587,12.557205446056358,12.051813344264133,True
13,63.0,43.811263974366284,13.77521351940401,19.188736025633716,True
14,21.0,29.617891165497525,13.71746607947514,8.617891165497525,True
15,55.0,37.483408371610814,13.986528587617824,17.516591628389186,True
16,52.0,29.697612142560217,1.0008237867582717,22.302387857439783,False
17,34.0,52.29628412499815,12.059137797599119,18.296284124998152,True
18,29.0,49.29953898126448,11.900968812034037,20.299538981264483,True
19,25.0,37.366412705110974,13.638841090579524,12.366412705110974,True
20,23.0,38.513587030881524,13.310994710271684,15.513587030881524,True
21,62.0,38.91408488865699,11.76606558029203,23.085915111343013,False
22,22.0,41.13644229584729,12.418412278919838,19.13644229584729,True
24,57.0,35.99449319486692,13.75418988055998,21.00550680513308,True
25,50.0,35.48727770184409,12.732137626854117,14.512722298155907,True
26,54.0,45.22398532858942,12.822931416496798,8.776014671410579,True
27,53.0,47.54837601639772,15.251104088787184,5.451623983602282,True
29,53.0,45.39315742299826,12.887018504820071,7.606842577001743,True
32,53.0,35.10544128724232,12.336916406540531,17.89455871275768,True
33,34.0,46.248902421638746,13.320561593123447,12.248902421638746,True
35,60.0,44.478359593997894,12.681959099748498,15.521640406002106,True
36,22.0,32.410918301279125,13.60946041262744,10.410918301279125,True
