permutation,null_pearson_r
1,-0.6256917140427356
2,-0.9999994851409711
3,-0.3495338911643219
4,-0.9999985719284441
5,0.07182735816982291
6,-0.4914777052791168
7,-0.9999996381286238
8,-0.5837276835862638
9,-0.38211756511349976
10,-0.9999997429919762
11,-0.999999528534622
12,-0.14095480230511256
13,-0.41433029911547437
14,-0.3391320396568051
15,0.2798368350912339
16,-0.41466040665918036
17,-0.1450110477307754
18,-0.6740711291320185
19,-0.4139753432552304
20,0.3889655641563565
21,-0.9999979723547546
22,-0.282615659660241
23,-0.43811358019983243
24,-0.4740495432025713
25,-0.9959351962203615
26,0.15165832469004123
27,0.01977735628439717
28,-0.6401731217460308
29,-0.23479386623742998
30,-0.9999996727889147
31,-0.9998105572312492
32,-0.5970059722373581
33,-0.999999999056116
34,-0.6671758848653148
35,-0.9967969765038099
36,0.032094962255215714
37,-0.4857106956805146
38,-0.40996966235339327
39,-0.6420490168978671
40,-0.9260570199340473
41,-0.8136268328753994
42,0.1938784608569097
43,-0.5811433726834935
44,-0.8378038007672076
45,-0.9644186820421476
46,0.015579635969152454
47,-0.17167185571424715
48,-0.2679334662100712
49,0.12628829190367902
50,-0.13229552294967964
51,-0.12580140731588452
52,-0.9999998693493892
53,-0.41781575178184777
54,-0.9999996591578403
55,0.1597618091282532
56,-0.03455180857442973
57,-0.6692265032674662
58,-0.3669811183245508
59,-0.4179744620311963
60,0.011308501767716857
61,-0.5165560599728565
62,-0.99999727133537
63,-0.708210943506516
64,-0.6655650693598726
65,-0.35943887668554014
66,0.03767990940636681
67,0.4451908004325686
68,-0.41761888674429315
69,-0.3780286705060085
70,-0.9959996951283534
71,-0.3724525890341182
72,-0.6367157996456868
73,-0.15713996546200548
74,-0.996626324474635
75,-0.4363842873244411
76,0.04138130323718962
77,-0.46513504528587823
78,-0.568128573419953
79,-0.007003592831572654
80,0.17986844417095016
81,-0.5970625109248473
82,-0.01792486852812248
83,-0.999997807208569
84,-0.8242788845246816
85,-0.33267867769930765
86,-0.4290613262629891
87,-0.9430234114629251
88,0.10719599833626235
89,-0.355749166091546
90,0.14976362280575753
91,0.1890884964460995
92,-0.5526747035470321
93,-0.3905438367137099
94,-0.3997747160094162
95,-0.24086943319335644
96,0.17545284602172692
97,0.2794317288519608
98,0.07271088149931978
99,0.1599005168522213
100,-0.9999996349865236
101,0.03114994261490682
102,-0.38641508747046177
103,0.18719200080594212
104,-0.9999999980600107
105,-0.05011305595319658
106,-0.8558639187946757
107,-0.9999999524913019
108,-0.40700605677081764
