participant_id,actual_age,predicted_age,predictive_std,absolute_error,within_95pct_interval
2,22.0,31.36598105937225,13.797202201487195,9.365981059372249,True
3,24.0,34.588857225703634,14.863298255202169,10.588857225703634,True
5,34.0,51.492003940835176,11.678922083586134,17.492003940835176,True
6,31.0,52.80384717709856,1.170610920562216,21.80384717709856,False
7,22.0,34.32528218709964,13.389703545370859,12.325282187099639,True
8,33.0,44.04373610308212,14.12019083183169,11.043736103082118,True
9,51.0,45.057562666114805,12.763583689465841,5.942437333885195,True
10,51.0,46.57148283444383,12.853974154901625,4.428517165556173,True
11,22.0,33.315949427458825,13.681952490989266,11.315949427458825,True
12,49.0,37.921444285639375,12.699195494199433,11.078555714360625,True
13,63.0,42.563460055480846,14.11922281259011,20.436539944519154,True
14,21.0,29.574289545125517,13.746497665507874,8.574289545125517,True
15,55.0,38.77562978505279,13.7879972158406,16.224370214947207,True
16,52.0,30.371903391597648,1.8981678569764313,21.628096608402352,False
17,34.0,51.218844173313435,12.184672367605216,17.218844173313435,True
18,29.0,48.836641945302006,11.828705991888175,19.836641945302006,True
19,25.0,39.96553074566654,14.522008640649254,14.965530745666541,True
20,23.0,37.41181247533577,13.57833373206491,14.411812475335772,True
21,62.0,39.935417113607095,11.933459039249696,22.064582886392905,True
22,22.0,40.8997729265218,12.514164838225186,18.8997729265218,True
24,57.0,39.32563151323958,13.710271194045104,17.67436848676042,True
25,50.0,35.789121130282545,12.946598157451106,14.210878869717455,True
26,54.0,44.02282071288475,12.901257770324793,9.977179287115248,True
27,53.0,45.65857498886504,15.244671624130218,7.341425011134959,True
29,53.0,44.880673127245686,13.002477590285157,8.119326872754314,True
32,53.0,35.98510408853549,12.598281375492741,17.014895911464507,True
33,34.0,46.28066486822228,13.305306378483918,12.280664868222281,True
35,60.0,42.394104833963304,12.761862189816528,17.605895166036696,True
36,22.0,31.82943724072029,13.765480787713273,9.829437240720289,True
