metric,point_estimate,ci_lower_2.5,ci_upper_97.5,ci_width,n_bootstrap,n_resamples_used,n_participants
AUC,0.6779,0.4545,0.8824,0.4278,2000,2000,29
Accuracy,0.6207,0.4483,0.7931,0.3448,2000,2000,29
